run_name,DLNTDR_1,DLNNDR_1,KY,NU_EE,MASS_1,DLNTDR_2,DLNNDR_2,RMAJ,RMIN,Q,S,KAPPA,DELTA,GAMMA_E,BETAE_UNIT,MACH,SHIFT,S_KAPPA,S_DELTA,Q_electron,Q_ion,split
2019_03-isotope_t_at0_filtered,1.25,1.0,0.8205000162124634,0.1,1.5,1.25,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.944596,1.840758,train
2019_03-isotope_t_at1_filtered,1.5,1.0,0.8205000162124634,0.1,1.5,1.5,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,2.686642,5.830308,train
2019_03-isotope_t_at2_filtered,2.0,1.0,0.8205000162124634,0.1,1.5,2.0,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,5.963135,14.488076,train
2019_03-isotope_t_at3_filtered,2.5,1.0,0.8205000162124634,0.1,1.5,2.5,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,10.897818,28.318508,train
2019_03-isotope_t_at5_filtered,3.5,1.0,0.8205000162124634,0.1,1.5,3.5,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,20.498394,53.713028,train
2019_03-isotope_t_b0_filtered,3.0,3.0,0.8205000162124634,0.05,1.5,3.0,3.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,41.959728,38.051708,train
2019_03-isotope_t_b2_filtered,3.0,3.0,0.8205000162124634,0.167,1.5,3.0,3.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,24.89233,21.744497,train
2019_03-isotope_t_b3_filtered,3.0,3.0,0.8205000162124634,0.278,1.5,3.0,3.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,19.517015,16.72077,ood
2019_03-isotope_t_b4_filtered,3.0,3.0,0.8205000162124634,0.464,1.5,3.0,3.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,13.55758,11.354769,train
2019_03-isotope_t_b5_filtered,3.0,3.0,0.8205000162124634,0.774,1.5,3.0,3.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,7.553435,6.20453,ood
2019_03-isotope_t_b6_filtered,3.0,3.0,0.8205000162124634,1.0,1.5,3.0,3.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,3.809419,3.272224,train
2019_05-garyshift_stdS00G00_high_filtered,3.0,1.0,2.07699990272522,0.05,1.0,3.0,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,14.257823,38.893436,train
2019_05-garyshift_stdS00G00_low_filtered,3.0,1.0,1.0049999952316284,0.05,1.0,3.0,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,15.089073,41.456722,train
2019_05-garyshift_stdS00G00_med_filtered,3.0,1.0,1.5410000085830688,0.05,1.0,3.0,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,14.767939,39.558537,train
2019_10-exb_2res_a1_filtered,3.0,1.0,1.5410000085830688,0.05,1.0,3.0,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,14.463719,38.810604,train
2019_10-exb_2res_b1_filtered,3.0,1.0,1.5410000085830688,0.05,1.0,3.0,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,14.784884,39.154537,train
2020_08-nuei_lor_alor0_filtered,3.0,1.0,1.0049999952316284,0.01,1.0,3.0,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,14.389137,38.336334,train
